"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/App.css", "CSS", 0, 67, 0, 0, 0, 11, 78
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/App.js", "JavaScript", 52, 0, 0, 0, 5, 10, 67
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Home/HomePage 3.css", "CSS", 0, 4, 0, 0, 1, 1, 6
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Home/HomePage 4.css", "CSS", 0, 4, 0, 0, 1, 1, 6
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Home/HomePage.css", "CSS", 0, 117, 0, 0, 0, 14, 131
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Home/HomePage.jsx", "JavaScript JSX", 0, 0, 91, 0, 26, 10, 127
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Images/logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Login/Login.css", "CSS", 0, 78, 0, 0, 20, 17, 115
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Login/LoginPage.js", "JavaScript", 48, 0, 0, 0, 2, 8, 58
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Login/loginTemplate.jsx", "JavaScript JSX", 0, 0, 90, 0, 5, 14, 109
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Attractions/Attractions.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Attractions/Attractions.jsx", "JavaScript JSX", 0, 0, 72, 0, 8, 9, 89
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Details/Details.css", "CSS", 0, 145, 0, 0, 1, 17, 163
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Details/Details.jsx", "JavaScript JSX", 0, 0, 136, 0, 2, 22, 160
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/FlightCard/FlightCard.css", "CSS", 0, 244, 0, 0, 65, 38, 347
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/FlightCard/SegmentRowLeft.jsx", "JavaScript JSX", 0, 0, 91, 0, 0, 6, 97
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/FlightCard/SegmentRowRight.jsx", "JavaScript JSX", 0, 0, 81, 0, 1, 8, 90
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/FlightCard/SegmentWrapper.jsx", "JavaScript JSX", 0, 0, 76, 0, 2, 8, 86
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/Flights.css", "CSS", 0, 128, 0, 0, 17, 33, 178
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/Flights.jsx", "JavaScript JSX", 0, 0, 64, 0, 2, 7, 73
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCard/GridCard 2.css", "CSS", 0, 79, 0, 0, 2, 15, 96
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCard/GridCard 2.jsx", "JavaScript JSX", 0, 0, 60, 0, 0, 3, 63
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCard/GridCard.css", "CSS", 0, 79, 0, 0, 2, 15, 96
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCard/GridCard.jsx", "JavaScript JSX", 0, 0, 60, 0, 0, 3, 63
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCardAttrications/GridCardAttrications 2.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCardAttrications/GridCardAttrications 2.jsx", "JavaScript JSX", 0, 0, 38, 0, 1, 2, 41
