"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/StarRating/StarRating.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 5, 26
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/RemoveFromTrip.js", "JavaScript", 23, 0, 0, 0, 13, 9, 45
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/SegmentWrapperSummary.css", "CSS", 0, 240, 0, 0, 77, 39, 356
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/SegmentWrapperSummary.jsx", "JavaScript JSX", 0, 0, 104, 0, 4, 16, 124
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/SummaryGridCard.css", "CSS", 0, 83, 0, 0, 7, 18, 108
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/SummaryGridCard.jsx", "JavaScript JSX", 0, 0, 123, 0, 17, 31, 171
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Summary.css", "CSS", 0, 163, 0, 0, 21, 38, 222
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Summary.jsx", "JavaScript JSX", 0, 0, 129, 0, 81, 27, 237
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Signup/SignupPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 2, 12
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/System/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 1, 13
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/index.js", "JavaScript", 16, 0, 0, 0, 3, 4, 23
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/store/store 2.js", "JavaScript", 19, 0, 0, 0, 4, 5, 28
"/Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/store/store.js", "JavaScript", 19, 0, 0, 0, 4, 5, 28
"Total", "-", 241, 1776, 1781, 1, 613, 664, 5076
