Date : 2023-04-09 22:22:09
Directory : /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/backend/src
Total : 81 files,  -2037 codes, -294 comments, -38 blanks, all -2369 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/backend/src/main/java/com/springbackend/app/rest/Vacation/Vacation.java                        | Java            |         67 |         11 |         20 |         98 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/backend/src/main/java/com/springbackend/app/rest/Vacation/VacationController.java              | Java            |        152 |          7 |         42 |        201 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/backend/src/main/java/com/springbackend/app/rest/Vacation/VacationRepo.java                    | Java            |         13 |          0 |          7 |         20 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/backend/src/main/java/com/springbackend/app/rest/VacationBuilder/VacationBuilder.java          | Java            |         13 |         10 |          8 |         31 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/backend/src/main/resources/application-dev.properties                                          | Java Properties |          0 |          0 |          1 |          1 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/backend/src/main/resources/application.properties                                              | Java Properties |         19 |         10 |         10 |         39 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/backend/src/test/java/com/springbackend/app/rest/RestApplicationTests.java                     | Java            |          9 |          0 |          5 |         14 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/App.css                                                                           | CSS             |        -67 |          0 |        -11 |        -78 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/App.js                                                                            | JavaScript      |        -54 |         -6 |        -11 |        -71 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Home/HomePage.css                                                      | CSS             |       -117 |          0 |        -14 |       -131 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Home/HomePage.jsx                                                      | JavaScript JSX  |        -91 |        -26 |        -10 |       -127 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Images/logo.svg                                                        | XML             |         -1 |          0 |          0 |         -1 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Login/LoginPage.js                                                     | JavaScript      |        -48 |         -2 |         -8 |        -58 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Login/login 2.css                                                      | CSS             |        -78 |        -20 |        -17 |       -115 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Login/login.css                                                        | CSS             |        -78 |        -20 |        -17 |       -115 |
